image_path,figure_title,related_text_strong,generated_question,generated_answer
images/img_in_image_box_1559_594_1983_1085.jpg,,常见的液晶显示屏组件表面缺陷光学自动检测方法包括：采用平行光作为光源，光源照射到由气浮板承载的被测玻璃基板的表面，利用 ccd 摄像机作为接收器沿着扫描路径对被测玻璃基板进行扫描，实现被测基板不同位置的反射成像，如图 1.1 所示。在 1.1(a) 中，像机 1 和像机 2 表示像机在玻璃运动过程中两个扫描时间点的相对位置。通过观察成像结果，若缺陷在玻璃上表面，缺陷及其阴影各自成像的间距较大，随着缺陷位置向玻璃下表面移动，缺陷及其阴影各自成像的间距越来越小，如图 1.1(b)；直到缺陷出现在玻璃的下表面，两个图像完全重合如图 1.1(c)。可以根据缺陷及其阴影成像间距的大小，判断缺陷在玻璃基板中出现的位置 $ ^{[6]} $ 。,在使用平行光反射成像法对液晶显示屏玻璃基板进行缺陷检测时，若CCD摄像机捕捉到的成像结果显示缺陷与其阴影的成像间距逐渐减小直至完全重合，请说明这一现象反映了缺陷在玻璃基板内部位置的何种变化规律？,成像间距的大小直接反映了缺陷在玻璃基板厚度方向上的深度。当成像间距较大时，缺陷位于玻璃的上表面；随着缺陷位置从上表面向玻璃下表面移动，缺陷与其阴影的成像间距会随之逐渐缩小；当缺陷与其阴影图像完全重合时，表明该缺陷位于玻璃的下表面。
images/img_in_image_box_1164_2367_2167_2616.jpg,图 2 新型带 oca 偏光片的结构,偏光片是 lcd、oled 等显示屏必须用到一种薄膜复合材料，普通偏光片是单面涂覆压敏胶，用于贴合显示屏。其结构如图 1：在生产偏光片的过程中，将 oca 胶涂覆在偏光片的无胶面，或将 oca 胶带复合在偏光片的保护膜面，制得新型带 oca 偏光片，其结构如下图 2：### 3.2 带 oca 偏光片的性能特征,在一种新型带 OCA 的偏光片多层复合结构中，请分别指出用于贴合显示面板（LCD/OLED）与贴合盖板（Cover Plate）的胶层名称，并说明该结构中的偏光片层在不同显示类型（LCD 与 OLED）中分别发挥什么作用？,在这种新型结构中，用于贴合 LCD 或 OLED 显示面板的胶层是 PSA（压敏胶）；用于贴合触控面板（TP）或盖板的胶层是 OCA（光学透明胶）。中间的偏光片层在 LCD 显示中主要起“起偏”作用，而在 OLED 显示中主要起“防反射”作用。
images/img_in_chart_box_376_1340_1345_1693.jpg,图 4.1 基于厌氧紫外胶的夺取式转印方案原理图（(a)转印受体与转印载体复合，(b)(c)施加压力、加热、光照等转印条件，(d)转印载体与转印受体分离）,基于厌氧 uv 胶的转印过程如图 4.1 所示，图(a)为将转印载体与转印受体复合过程；图(b)(c)为压合后施加一定压力、uv 光照、低温加热等转印条件；图(d)为在一定条件下将转印载体与转印受体分离。转印载体上与转印受体结构凸起部分接触的金属层将被选择性地转移到转印受体表面。因而将在转印受体表面得到图案化的金属微纳结构。,在基于厌氧UV胶的夺取式转印（Snatch-style transfer printing）工艺中，金属层实现“选择性转移”的物理机制是什么？请结合转印受体与转印载体的结构特征进行说明。,金属层的选择性转移是通过转印受体（具有凸起结构的柔性模板）与转印载体（表面覆盖有金属层和厌氧UV胶的基底）之间的局部机械接触实现的。在复合过程中，只有转印受体上形貌凸起的部位能与载体表面的厌氧UV胶层直接接触。在施加压力、UV光照和低温加热等转印条件后，接触区域的UV胶固化产生粘附力，将金属层与受体凸起部分牢固结合。当转印载体与受体分离时，仅与凸起结构接触的金属层被“夺取”并转移到受体表面，从而在受体上形成与模板凸起形貌完全一致的图案化金属微纳结构。
images/img_in_image_box_529_2119_1974_2835.jpg,图 2-8 供水系统设计视图,供水系统主要是将过滤后的超纯水经过高压泵的加压后输送到毛刷刷洗位、研磨清洗位及磨后冲洗位；供气系统主要为风刀提供清洁、充足的气源，以使研磨清洗后的液晶玻璃能够快速风干。图 2-8 所示为供水、供气系统设计视图。,在液晶玻璃加工流程中，根据所提供的供水与供气系统设计视图，请说明供气系统在清洗工序后的具体功能是什么，以及其服务的核心组件名称。,供气系统的具体功能是为系统提供清洁、充足的气源，以实现研磨清洗后的液晶玻璃能够快速风干。其服务的核心组件是风刀。
images/img_in_image_box_745_1305_1298_2100.jpg,图 3-2 反应釜照片,"以  $ sncl_{2}\cdot2h_{2}o $  作为 sn 的出发原料，会因为工艺控制不当造成生成的  $ sno_{2} $  薄膜中出现 sn 单质和  $ sno^{[27,133,134]} $ ，降低薄膜的光电综合性能，若采用四价态的  $ sncl_{4}\cdot5h_{2}o $ ，可避免出现类似的问题；与乙醇相比，甲醇的挥发性更强，甲醇的雾滴在飞行过程中更易变得细小，使薄膜沉积更加均匀，在配制工艺允许前提下，采用甲醇作溶剂喷涂效果更佳。因此，本研究使用的喷雾溶液以  $ sncl_{4}\cdot5h_{2}o $  为出发原料，氢氟酸为掺杂剂，甲醇为溶剂，鉴于回流法制备  $ sno_{2}:f $  喷涂液效率不高，本研究采用加温加压的方式，加快溶液内的化学反应速率，提高喷涂液制备效率，具体工艺是将  $ sncl_{4}\cdot5h_{2}o $ 、hf 按照一定比例溶于甲醇，于高温磁力搅拌反应釜中进行反应，反应温度  $ 70\;^{\circ}c $ ，反应压力  $ 0.4\;mpa $ ，反应时间  $ 2.5\;h $ ，工艺流程见图 3-1，配制好的喷涂液为澄清的黄色溶液，图 3-2 给出了高温磁力搅拌反应釜实物图。",在利用如图 3-2 所示的高温磁力搅拌反应釜制备用于显示技术的 SnO2:F 喷涂液时，相比于传统的加流法（回流法），采用该加温加压工艺的主要目的是什么？并请列出该反应过程对应的具体工艺参数（温度、压力与时间）。,采用加温加压工艺的主要目的是为了加快溶液内部的化学反应速率，从而解决回流法制备效率不高的问题，提高喷涂液的制备效率。在该反应釜中进行的具体工艺参数为：反应温度为 70 ℃，反应压力为 0.4 MPa，反应时间为 2.5 h。
images/img_in_image_box_859_2119_1575_2628.jpg,图 1.7 三层器件结构示意图,"日本的 adschi $ ^{[18,19]} $  首次提出了三层器件的结构，即：htl、etl 和 eml。这种结构的优点是细化了每一个层的功能。三层有机电致发光器件的结构如图 1.7 所示。",根据提供的三层有机电致发光器件结构示意图（图 1.7），请列出该器件从下至上完整的物理层叠顺序，并说明该三层有机功能层（HTL、ELL、ETL）设计的核心技术优势是什么？,该器件从下至上的完整层叠顺序为：玻璃基板（Glass substrate）、透明阳极（ITO）、空穴传输层（HTL）、发光层（ELL，对应文本中的EML）、电子传输层（ETL）以及金属阴极（Al）。这种设计的三层有机结构核心技术优势在于细化了每一个功能层的作用，使空穴传输、电子传输和激子复合发光的功能分别由不同的材料层独立承担。
images/img_in_image_box_1299_1649_1721_2056.jpg,图 1 器件的基本结构,"有机/高分子电致发光显示屏的基本结构是两电极(其中一个是透明电极)间夹有机/高分子发光层, 在低于  $ 10 \, v $  (高分子器件低于  $ 5 \, v $ ) 电压驱动下即可实现光的发射, 发射的光可从透明电极侧辐射出来。以 oled 为例, 器件基本结构如图 1。",根据图 1 所示的 OLED 器件结构及其工作原理，请指出哪一层材料充当了器件的阳极（Anode），并结合视觉特征说明该器件的光辐射方向。,在该 OLED 器件结构中，ITO（氧化铟锡）层充当了阳极。光辐射方向是从器件的底部，即通过 ITO 透明电极并穿过玻璃基板（Glass）向外辐射。
images/img_in_image_box_682_337_1673_1046.jpg,图 1-7 钠硅灰石-液晶光电设备,"英国 haider butt 等人通过热处理的方法在玻璃上原位形成一层钠硅灰石的光扩散膜(如图 1-6 所示)，制备得到的光扩散膜具有良好的光扩散效果、较宽的散射区域和较高的透过率(透过率可达 70%以上)。同时，研究人员通过进一步的研究解释了基于钠硅灰石的光扩散机理：钠硅灰石独特的针状微纳米结构，使其具有对光的各向异性，因而在实现对点光源的扩散效果同时具有较大的扩散角度。除此以外，该课题组在上述研究基础上进一步探索，制备了基于钠硅灰石的液晶光电设备(如图 1-7 所示)。研究表明，钠硅灰石-液晶光电设备可以通过改变所施加电压的大小，来精确调控该设备的光扩散性能。同时该设备具有优异的散射范围和散射角，可以广泛应用于生物传感器、全息影像设备等各类光电设备之中，进而引起了对于钠硅灰石的深层次研究 $ ^{[46,47]} $ 。",在如图所示的钠硅灰石-液晶（Devitrite-LC）光电设备结构中，研究人员实现对该设备光扩散性能精确调控的物理手段是什么？此外，根据文中对钠硅灰石扩散机理的描述，其产生光学各向异性的微观结构特征是什么？,该设备通过改变施加在电极（ITO/玻璃电极与石墨烯层）之间的电压大小，来实现对光扩散性能的精确调控。钠硅灰石产生光学各向异性的微观结构特征是其独特的针状微纳米结构。
images/img_in_image_box_1296_1308_2073_1593.jpg,fig.4 (a) diffuse reflectance spectra of the pure  $ sio_{2} $  and  $ sio_{2}/tio_{2}/pmma $  nanoparticles; (b) schematic of the fabrication of the optically transparent adhesive film by roll-to-roll coating $ ^{[53]} $ . reprinted with permission from ref. [53]. copyright(2020) american chemical society.,"光线在经过核壳结构微球时具有多次散射效应,可显著提高光散射角 $ ^{[54]} $ ,有利于扩宽扩散板的视场角。因此,核壳结构微球也适于作为扩散剂使用,如  $ \mathrm{sio}_{2}/\mathrm{ceo}_{2}/\mathrm{poly}(\mathrm{vtms}) $  微球 $ ^{[12]} $ 、 $ \mathrm{zro}_{2}@\mathrm{pmma}@\mathrm{polysiloxane} $  微球 $ ^{[55]} $ 等。2020年,son等人提出了一种具有折射率梯度的单核双壳  $ \mathrm{sio}_{2}/\mathrm{tio}_{2}/\mathrm{pmma} $  纳米颗粒。 $ \mathrm{tio}_{2} $  壳层具有uv屏蔽特性,折射率高于  $ \mathrm{sio}_{2} $  核心与最外层的pmma。如图4(a)所示,相较于纯  $ \mathrm{sio}_{2} $  粒子,光在穿透单核双壳  $ \mathrm{sio}_{2}/\mathrm{tio}_{2}/\mathrm{pmma} $  纳米颗粒时,光路更为复杂,并且能显著改善可见光区的光散射性能。为验证  $ \mathrm{sio}_{2}/\mathrm{tio}_{2}/\mathrm{pmma} $  纳米颗粒的实际性能,他们将纳米颗粒均匀混合在丙烯酸基树脂溶液中,使用辊筒制备了光学透明胶膜,制备过程如图4(b)所示。单核双壳纳米颗粒优异的光散射性能为光学透明胶膜提供了宽视角，并在法线方向上保持了膜的高透光性 $ ^{[53]} $ 。",在利用 $SiO_2/TiO_2/PMMA$ 单核双壳纳米颗粒制备光学透明胶（OTA）薄膜的过程中，这种特定的核壳结构设计如何影响薄膜的光学性能？并请结合工艺示意图简述该薄膜的物理实现方式。,该纳米颗粒采用了具有折射率梯度的单核双壳结构，其中 $TiO_2$ 壳层的折射率高于内部的 $SiO_2$ 核心和最外层的 $PMMA$ 壳层。这种设计使得光线在穿过纳米颗粒时产生更复杂的光路，显著增强了可见光区域的光散射性能，从而为薄膜提供了宽视场角，且能在法线方向保持高透光性；此外，$TiO_2$ 层还赋予了薄膜 UV 屏蔽特性。在物理实现上，根据工艺示意图，这些纳米颗粒被均匀混合在丙烯酸基树脂溶液中，通过卷对卷涂布机（Roll-to-roll coater）将混合溶液涂敷在离型膜（Release film）上，最终形成光学透明胶膜。
images/img_in_image_box_1078_1745_1770_2030.jpg,fig.4.3 schematic diagrams of mis structure (a) and mim structure (b) with pmma as gate dielectric,最后用带有圆孔的掩膜板放在 pmma 薄膜上，用热蒸发台淀积铝电极。这样就完成了 mis 和 mim 两种结构器件的制备，其结构图如图 4.3(a) 和 (b)：此外还制备了没有金属电极的 pmma/ito 玻璃结构，用来研究其光学透射特性。,根据提供的图 4.3 及其描述，在该实验制备的 MIS（金属-绝缘体-半导体）和 MIM（金属-绝缘体-金属）结构器件中，请识别出被用作“门绝缘体（Gate Dielectric）”的具体材料名称，并指出该器件的顶部电极是通过哪种金属材料淀积而成的？,在该器件结构中，用作“门绝缘体（Gate Dielectric）”的材料是 PMMA（聚甲基丙烯酸甲酯）；该器件的顶部电极是通过铝（Al）金属材料淀积而成的。
images/img_in_image_box_1270_1803_2107_2210.jpg,图 1 ffs、fis 结构原理图,"传统 ffs-lcd 和 fis-lcd 结构如图 1 所示, 两种显示模式的电极结构相同, 像素电极均为梳状电极, 公共电极均为面状电极, 并且公共电极位于像素电极下方, 两者之间用绝缘层(二氧化硅或氮化硅)隔开。不同的是 ffs 液晶盒是在像素电极加极性相同的电压, 利用像素电极与公共电极间产生边缘场驱动液晶分子, 而 fis 模式是在像素电极之间施加极性相反的电压, 利用像素电极之间的共面场和与公共电极间的边缘场驱动液晶分子。",在如图 1 所示的电极结构中，FFS-LCD 与 FIS-LCD 两种显示模式在像素电极的电压施加方式以及所产生的驱动电场类型上有何具体区别？,"虽然 FFS-LCD 和 FIS-LCD 的物理结构相同（均采用梳状像素电极、面状公共电极及中间的绝缘层），但其驱动机制存在显著差异：
1. 电压施加方式：FFS 模式在像素电极上施加极性相同的电压；而 FIS 模式在相邻像素电极之间施加极性相反的电压。
2. 驱动电场类型：FFS 模式主要利用像素电极与下方公共电极之间产生的“边缘场”来驱动液晶分子；FIS 模式则结合了像素电极之间的“共面场”以及像素电极与公共电极间的“边缘场”共同驱动液晶分子。"
